Rank, H1B Visa Sponsor, Job Title, Number of LCA  *, Average Salary
136,"Essential Technologies,",Programmer Analyst,74,"$63,338 "
37,Piorion Solutions,Computer Programmer Analyst,15,"$63,345 "
52,P2p Softtek,Computer Systems Analyst,25,"$63,367 "
51,Sterling Software,Computer Systems Analyst,25,"$63,368 "
6,California Creative Solutions,Data Analyst,17,"$63,371 "
77,Reliance It Services,Programmer Analyst,99,"$63,384 "
28,Hadiamondstar Software Solutions,Programmer Analyst,166,"$63,407 "
192,Gomiapp,Programmer Analyst,59,"$63,415 "
66,Towers Watson Delware,Developer,3,"$63,422 "
48,Sivees,Database Administrator,11,"$63,427 "
35,NaztecÂ® International Group,Application Developer,6,"$63,440 "
110,Bioinfo Systems,Qa Analyst,4,"$63,440 "
167,Satnam Technologies,Data Analyst,2,"$63,440 "
20,Dw Matrix,Qa Analyst,13,"$63,447 "
155,Aquil Systems,Systems Analyst,14,"$63,480 "
151,Finacle Soft,Software Developer,20,"$63,500 "
91,Great Logics,Computer Programmer Analyst,3,"$63,500 "
98,Bell Info Solutions,Java Developer,5,"$63,500 "
51,Concert Tech,Data Analyst,4,"$63,518 "
1,Astir It Solutions,Qa Analyst,75,"$63,521 "
212,Mind Craft Technologies,Software Developer,15,"$63,533 "
42,Meridian Software Solutions,Computer Programmer Analyst,13,"$63,538 "
60,Bhrigus,Programmer Analyst,116,"$63,539 "
68,Software Solutions Group,Computer Systems Analyst,21,"$63,571 "
100,Sure Tech Services,Systems Analyst,23,"$63,576 "
225,Bizcloud Analytics,Programmer Analyst,53,"$63,585 "
80,Maxpro,Computer Systems Analyst,17,"$63,588 "
141,Caliber Business Systems,Business Analyst,11,"$63,591 "
94,Zenith Services,Software Engineer,43,"$63,600 "
22,Akvarr,Programmer Analyst,177,"$63,610 "
183,Mintex Tech,Business Analyst,9,"$63,614 "
205,Infologitech,Programmer Analyst,56,"$63,642 "
65,Tsq Systems,Qa Analyst,6,"$63,655 "
43,Oncorre,Business Analyst,29,"$63,658 "
138,Stat9 Technologies,Systems Analyst,16,"$63,688 "
6,Sree Infotech,Database Administrator,67,"$63,701 "
8,Erp Analysts,Application Developer,25,"$63,703 "
218,Isprint Technologies,Programmer Analyst,54,"$63,704 "
84,Adroix,Software Developer,31,"$63,710 "
78,Yashraj Technologies,Computer Systems Analyst,18,"$63,722 "
18,Softcorp International,Java Developer,25,"$63,732 "
76,Idb Admins,Computer Programmer Analyst,4,"$63,750 "
114,Dr Technologies,Systems Analyst,21,"$63,762 "
109,Spruce Technology,Qa Analyst,4,"$63,765 "
16,Lucent It Solutions,Software Developer,85,"$63,776 "
16,First Tek,Qa Analyst,16,"$63,796 "
43,I-Link Solutions,Software Engineer,74,"$63,797 "
56,Nyse Market (De),Programmer/Analyst,5,"$63,800 "
118,Synapsis,Programmer Analyst,81,"$63,814 "
64,Openmind Systems,Computer Programmer Analyst,6,"$63,814 "
29,American Professionals,Computer Programmer,47,"$63,824 "
23,Slri Solutions,Software Developer,68,"$63,853 "
87,Microinfo,Application Developer,3,"$63,856 "
2,Edge It,Data Analyst,28,"$63,861 "
11,Susash Consulting Services,Developer,12,"$63,877 "
10,Ang Infotech,Application Developer,23,"$63,877 "
149,E Computer Technologies,Computer Systems Analyst,9,"$63,889 "
150,Baanyan Software Services,Software Developer,20,"$63,895 "
156,"Arcean,",Software Developer,19,"$63,895 "
83,Promantis,Software Developer,31,"$63,898 "
224,Yana Software,Programmer Analyst,53,"$63,906 "
173,Softech International Resources,Programmer Analyst,64,"$63,907 "
12,Yash Technologies,Programmer Analyst,236,"$63,927 "
16,Advent Global Solutions,Computer Programmer,70,"$63,950 "
11,Softova,Application Developer,22,"$63,955 "
180,Vigna Solutions,Systems Analyst,12,"$63,980 "
154,Opel Systems,Systems Analyst,14,"$63,985 "
212,Palayekar Companies,Software Engineer,20,"$63,989 "
114,Applab Systems,Software Engineer,36,"$64,000 "
72,Atri Softech,Software Developer,34,"$64,000 "
112,Krypto It Solutions,Software Developer,25,"$64,000 "
152,Professional Software Consulting Services(Pscs),Computer Programmer,12,"$64,000 "
86,Charter Global,Computer Systems Analyst,16,"$64,000 "
121,Bytefield,Computer Systems Analyst,11,"$64,000 "
148,Tek And Company,Computer Systems Analyst,9,"$64,000 "
165,108 Info System,Computer Systems Analyst,8,"$64,000 "
206,Rapidit,Computer Systems Analyst,6,"$64,000 "
105,Technovision Solution,Developer,2,"$64,000 "
91,Appsys Global,Database Administrator,7,"$64,000 "
56,Reliable Greenergy Usa,Computer Programmer Analyst,9,"$64,000 "
124,Delta System & Software,Computer Programmer Analyst,2,"$64,000 "
183,Value Consulting,Computer Programmer Analyst,1,"$64,000 "
183,Startekk,Computer Programmer Analyst,1,"$64,000 "
129,Xtramile Soft,Java Developer,4,"$64,000 "
173,Infosys Solutions,Java Developer,3,"$64,000 "
46,Sigilinfotech,Application Developer,5,"$64,000 "
153,Arke Tech,Application Developer,2,"$64,000 "
54,Blueline Software Services,Qa Analyst,7,"$64,000 "
84,"Srk Group,",Qa Analyst,5,"$64,000 "
108,Ezenius,Qa Analyst,4,"$64,000 "
153,Vaarg,Qa Analyst,3,"$64,000 "
153,Apps Solutions,Qa Analyst,3,"$64,000 "
73,Xoriant Corporation,Software Test Engineer,2,"$64,000 "
20,Aspyretech,Data Analyst,8,"$64,000 "
164,Automotivemastermind,Data Analyst,2,"$64,000 "
164,Automotivemastermind,Data Analyst,2,"$64,000 "
164,Dynamic Access Systems,Data Analyst,2,"$64,000 "
65,Anveta,Systems Analyst,34,"$64,038 "
152,Sriven Technologies,Qa Analyst,3,"$64,038 "
13,8k Miles Health Cloud,Programmer Analyst,232,"$64,057 "
127,Object Technology Solutions,Programmer Analyst,77,"$64,060 "
66,Lorven Applications,Software Engineer,54,"$64,066 "
117,Ak Systems,Computer Programmer,15,"$64,067 "
61,Octahedron,Software Engineer,56,"$64,074 "
128,Software Programming Group,Software Engineer,33,"$64,095 "
46,It Resources,Java Developer,10,"$64,108 "
92,Ibs Software Services Americas,Senior Software Engineer,9,"$64,111 "
64,Nuview Technologies,Systems Analyst,34,"$64,118 "
224,Microinfo It,Software Developer,14,"$64,120 "
204,Strategic Systems,Programmer Analyst,56,"$64,123 "
24,Advent Global Solutions,Systems Analyst,66,"$64,124 "
204,Genesis Techsystems,Business Analyst,8,"$64,125 "
31,Sena Info Technologies,Java Developer,13,"$64,128 "
66,Unikon It,Database Administrator,9,"$64,131 "
37,Unigo,Software Engineer,87,"$64,132 "
53,Stiaos Technologies,Computer Programmer,32,"$64,156 "
97,Business Intelli Solutions,Java Developer,5,"$64,164 "
103,Lead It,Database Administrator,6,"$64,167 "
77,Rsm Technology Solutions,Java Developer,6,"$64,167 "
7,Onward Technologies,Computer Programmer,131,"$64,175 "
7,Syrainfotek,Computer Programmer Analyst,88,"$64,187 "
30,Talent9,Java Developer,13,"$64,187 "
6,Oncorre,Qa Analyst,28,"$64,221 "
168,Applied It,Systems Analyst,13,"$64,231 "
36,Global Systems,Business Analyst,31,"$64,232 "
123,Jam,Computer Programmer Analyst,2,"$64,250 "
45,Kanhi Systems,Java Developer,10,"$64,256 "
126,Niftek,Systems Analyst,19,"$64,263 "
117,Ezen Computer Services,Programmer Analyst,81,"$64,269 "
191,Gokatech,Programmer Analyst,59,"$64,277 "
25,Agreeya Solutions,Software Developer,67,"$64,302 "
102,Ariston Tek,Database Administrator,6,"$64,308 "
163,Zylog Systems,Programmer Analyst,66,"$64,321 "
116,Prabhav Services,Computer Programmer,15,"$64,333 "
151,Ekin Solutions,Computer Programmer,12,"$64,350 "
132,Americloud Solutions,Database Administrator,5,"$64,355 "
100,Advanced Technology Group Usa,Software Developer,28,"$64,368 "
150,Astir It Solutions,Computer Programmer,12,"$64,375 "
75,Advaitaa Technologies,Database Administrator,8,"$64,375 "
204,Unikon It,Systems Analyst,10,"$64,400 "
176,3s Business,Computer Programmer,10,"$64,400 "
131,Virtual Matrix,Computer Systems Analyst,10,"$64,400 "
122,Tachyon Technologies,Computer Programmer Analyst,2,"$64,414 "
69,Redeemsoft,Programmer Analyst,105,"$64,429 "
60,First Tek,Database Administrator,10,"$64,434 "
24,Btree Solutions,Computer Systems Analyst,45,"$64,467 "
203,Texperts,Business Analyst,8,"$64,480 "
223,Mudrasys.,Programmer Analyst,53,"$64,486 "
17,Astir It Solutions,Programmer Analyst,187,"$64,497 "
179,Audlink,Database Administrator,4,"$64,500 "
121,Code Tech,Computer Programmer Analyst,2,"$64,500 "
139,Ess Analysis,Programmer/Analyst,2,"$64,500 "
189,Us Software Professionals,Computer Programmer,9,"$64,507 "
59,Codesource 360,Computer Systems Analyst,23,"$64,522 "
99,It & Ebusiness Consulting Services,Systems Analyst,25,"$64,527 "
113,Sat Solutions,Programmer Analyst,83,"$64,542 "
30,Erpmark,Computer Programmer Analyst,20,"$64,546 "
15,Camelot Integrated Solutions,Systems Analyst,98,"$64,551 "
2,Diaspark,Software Developer,306,"$64,559 "
90,I-Link Solutions,Database Administrator,7,"$64,571 "
75,Momento Usa,Computer Programmer,24,"$64,583 "
27,Sritek,Data Analyst,6,"$64,593 "
182,Cubic Technologies,Business Analyst,9,"$64,596 "
121,Slri Solutions,Software Engineer,35,"$64,600 "
184,Hexaware Technologies,Software Test Engineer,1,"$64,600 "
11,Gss Infotech Ct,Programmer Analyst,238,"$64,606 "
28,American It Resource Group,Software Developer,58,"$64,638 "
223,Wise Equation Solutions,Software Developer,14,"$64,643 "
211,Cloud Soft,Software Developer,15,"$64,667 "
205,Klouddata,Computer Systems Analyst,6,"$64,667 "
14,Kelly Maxson [duns#079237324],Computer Systems Analyst,69,"$64,668 "
98,Grassroot Technologies,Systems Analyst,25,"$64,672 "
147,Sena Info Technologies,Computer Systems Analyst,9,"$64,686 "
145,Suprasoft,Software Engineer,30,"$64,689 "
4,Sdlc Management,Qa Analyst,57,"$64,690 "
157,Nextgen Solutions,Software Engineer,28,"$64,695 "
45,Engineering Technology Associates,Software Developer,44,"$64,724 "
129,Oncorre,Programmer Analyst,76,"$64,738 "
183,Accelerated Technologies,Software Engineer,23,"$64,739 "
96,Jonam Systems,Java Developer,5,"$64,739 "
107,G3 Infotek,Qa Analyst,4,"$64,750 "
194,Technocrafts,Systems Analyst,11,"$64,765 "
63,Sage It,Systems Analyst,34,"$64,786 "
86,Ads Alliance Data Systems,Data Analyst,3,"$64,786 "
116,Infospan,Business Analyst,13,"$64,800 "
178,Comtek Global,Database Administrator,4,"$64,800 "
29,Saipsit,Systems Analyst,60,"$64,817 "
29,Kronsys,Java Developer,13,"$64,817 "
120,Xtglobal,Computer Systems Analyst,11,"$64,818 "
16,Estrada Consulting,Programmer Analyst,187,"$64,829 "
22,Makeurcareer,Qa Analyst,12,"$64,833 "
119,Ondemand Agility Solutions,Computer Systems Analyst,11,"$64,846 "
13,Mindtree,Developer,11,"$64,849 "
155,Software Catalysts,Business Analyst,10,"$64,850 "
65,Globalpoint,Computer Programmer,27,"$64,855 "
64,Grapnel Tech Services,Business Analyst,21,"$64,857 "
164,United Software Solutions,Computer Systems Analyst,8,"$64,875 "
49,Computek Soulutions,Programmer Analyst,131,"$64,878 "
204,Techexcel,Computer Systems Analyst,6,"$64,887 "
64,Vensoft,Qa Analyst,6,"$64,938 "
149,Numbers Only,Computer Programmer,12,"$64,958 "
24,Logicque,Computer Programmer Analyst,24,"$64,980 "
15,Anjaneyap,Qa Analyst,16,"$64,983 "
181,Info Way Solutions,Business Analyst,9,"$64,985 "
210,Adamas,Software Engineer,20,"$65,000 "
210,Yana Software,Software Engineer,20,"$65,000 "
120,Adamas,Software Developer,24,"$65,000 "
149,"Databoss International,",Software Developer,20,"$65,000 "
120,Radiance Solutions,Systems Analyst,20,"$65,000 "
167,Computek Soulutions,Systems Analyst,13,"$65,000 "
179,Xylo Consulting,Systems Analyst,12,"$65,000 "
203,Appnet Global,Systems Analyst,10,"$65,000 "
148,Expedient Consulting Services,Computer Programmer,12,"$65,000 "
175,Valsoft Services,Computer Programmer,10,"$65,000 "
209,Novateur Technologies,Computer Programmer,8,"$65,000 "
55,Nexus It,Business Analyst,23,"$65,000 "
201,Yana Software,Business Analyst,8,"$65,000 "
201,Optimum Technology,Business Analyst,8,"$65,000 "
100,Synergy Global Systems,Computer Systems Analyst,14,"$65,000 "
163,Allied It Consultancy,Computer Systems Analyst,8,"$65,000 "
203,Savvytech Solutions,Computer Systems Analyst,6,"$65,000 "
51,Benefitalign,Senior Software Engineer,16,"$65,000 "
104,Usm Business Systems,Developer,2,"$65,000 "
28,Systel Of Delaware,Database Administrator,16,"$65,000 "
89,Yana Software,Database Administrator,7,"$65,000 "
101,Caprus It,Database Administrator,6,"$65,000 "
175,"L And T Technology Services,",Database Administrator,4,"$65,000 "
90,Jiva Infotech,Computer Programmer Analyst,3,"$65,000 "
120,Orbis,Computer Programmer Analyst,2,"$65,000 "
175,Visionsoft International,Computer Programmer Analyst,1,"$65,000 "
128,Jvr Tech,Java Developer,4,"$65,000 "
170,M9 Consulting,Java Developer,3,"$65,000 "
170,"Yeti Technologies, Dba",Java Developer,3,"$65,000 "
170,Wb Solutions,Java Developer,3,"$65,000 "
152,Archents,Application Developer,2,"$65,000 "
22,Globalclick,Programmer/Analyst,18,"$65,000 "
83,Onprem Solution Partners,Programmer/Analyst,3,"$65,000 "
136,Health Dialog Services,Programmer/Analyst,2,"$65,000 "
136,Alvarez & Marsal Executive Compensation & Benefits,Programmer/Analyst,2,"$65,000 "
136,Onperm Solution Partners,Programmer/Analyst,2,"$65,000 "
35,Integrated Technology Services,Qa Analyst,9,"$65,000 "
63,Ebusiness Solutions,Qa Analyst,6,"$65,000 "
106,Privity Solutions,Qa Analyst,4,"$65,000 "
148,Najsoft,Qa Analyst,3,"$65,000 "
148,Us It Solutions,Qa Analyst,3,"$65,000 "
148,Applied Computer Techniques,Qa Analyst,3,"$65,000 "
225,First Object,Qa Analyst,2,"$65,000 "
43,Lead It,Software Test Engineer,3,"$65,000 "
181,Lyxia,Software Test Engineer,1,"$65,000 "
181,Amtex Enterprises,Software Test Engineer,1,"$65,000 "
181,The United Solutions Group,Software Test Engineer,1,"$65,000 "
85,Genesis Research,Data Analyst,3,"$65,000 "
160,Tek Signature,Data Analyst,2,"$65,000 "
160,Big Apple Infotech,Data Analyst,2,"$65,000 "
160,Sagatianz,Data Analyst,2,"$65,000 "
160,Bandwidth.Com,Data Analyst,2,"$65,000 "
162,Vision It Services Usa,Software Engineer,27,"$65,002 "
75,Strategic Staffing It,Software Developer,33,"$65,004 "
157,Innovative Information Technologies,Programmer Analyst,68,"$65,005 "
48,Isync Solutions,Programmer Analyst,131,"$65,015 "
208,Sage Group Consulting,Computer Programmer,8,"$65,020 "
151,Lead It,Application Developer,2,"$65,021 "
225,Ikon It Solutions,Software Engineer,19,"$65,042 "
127,Tekdynamics,Java Developer,4,"$65,042 "
86,Peta Systems,Application Developer,3,"$65,042 "
159,Novedea Systems,Data Analyst,2,"$65,042 "
212,Sapphire It Services,Programmer Analyst,55,"$65,055 "
41,Ez Solutions,Computer Programmer,39,"$65,055 "
105,Tnp Systems,Qa Analyst,4,"$65,060 "
7,Blueline Software Services,Application Developer,29,"$65,069 "
148,Aptude,Software Developer,20,"$65,071 "
98,Techsol,Computer Programmer,18,"$65,071 "
92,Softpath System,Programmer Analyst,92,"$65,087 "
182,Rally Systems,Software Engineer,23,"$65,087 "
176,Nartal Systems,Software Developer,17,"$65,088 "
224,Decipher Software Solutions,Qa Analyst,2,"$65,090 "
40,Web Yoga,Systems Analyst,43,"$65,093 "
179,Pixentia,Software Test Engineer,1,"$65,100 "
179,Global Information Systems,Software Test Engineer,1,"$65,100 "
136,American It Solutions,Software Engineer,32,"$65,103 "
146,Pns Software,Computer Systems Analyst,9,"$65,129 "
15,Slk America,Data Analyst,10,"$65,141 "
99,Yana Software,Software Developer,28,"$65,179 "
104,Infogen Software,Programmer Analyst,87,"$65,182 "
135,Hap Investments,Programmer/Analyst,2,"$65,187 "
174,Wise Men Consultants,Computer Programmer,10,"$65,200 "
8,Kpit Infosystems,Senior Software Engineer,84,"$65,209 "
22,Sun Soft Technologies,Systems Analyst,70,"$65,227 "
84,Hcl Global Systems,Data Analyst,3,"$65,229 "
97,Oncorre,Systems Analyst,25,"$65,230 "
175,Lilax Technologies,Software Developer,17,"$65,235 "
94,Aikya Information Systems,Software Developer,29,"$65,250 "
174,Techmagix,Database Administrator,4,"$65,250 "
7,Compunnel Software Group,Database Administrator,62,"$65,252 "
55,"Yeti Technologies, Dba",Application Developer,4,"$65,260 "
74,Incept Data Solutions,Business Analyst,19,"$65,263 "
27,Pyramid Technology Solutions,Java Developer,14,"$65,267 "
52,Niche Software Solutions,Business Analyst,26,"$65,291 "
223,Ec Infosystems,Qa Analyst,2,"$65,293 "
105,Global It,Programmer Analyst,86,"$65,302 "
17,Concepts Information Technology,Business Analyst,53,"$65,304 "
26,Texara Solutions,Qa Analyst,11,"$65,304 "
95,Enterprise Business Solutions,Business Analyst,15,"$65,312 "
72,Sigma Software,Software Test Engineer,2,"$65,312 "
77,Browse Info Solutions,Computer Systems Analyst,18,"$65,324 "
147,Priserve Consulting,Qa Analyst,3,"$65,333 "
33,Sapot Systems,Programmer Analyst,160,"$65,369 "
176,Spectra Group,Programmer Analyst,63,"$65,371 "
50,Nexus It,Programmer Analyst,130,"$65,373 "
26,Synchronisys,Business Analyst,37,"$65,379 "
10,Pactera Technologies,Software Test Engineer,11,"$65,398 "
222,Tiruven,Qa Analyst,2,"$65,400 "
203,"Devcare Solutions,",Programmer Analyst,56,"$65,402 "
86,Cyberbest Technology,Computer Programmer,22,"$65,416 "
106,Logixhub,Software Developer,26,"$65,425 "
193,Tech Mahindra Technologies,Systems Analyst,11,"$65,426 "
115,Pcb Apps,Business Analyst,13,"$65,432 "
38,Niche Software Solutions,Programmer Analyst,149,"$65,433 "
55,Econ One Research,Programmer/Analyst,5,"$65,438 "
113,Imetris,Software Engineer,36,"$65,444 "
42,"Collabera,",Programmer Analyst,145,"$65,469 "
5,L&T Technology Services,Database Administrator,73,"$65,481 "
18,Inteletech Global,Software Developer,80,"$65,483 "
44,Cyg Tec,Java Developer,10,"$65,487 "
150,Jupiter Software Solutions,Application Developer,2,"$65,500 "
220,Azee Systems,Qa Analyst,2,"$65,500 "
220,Trinuc,Qa Analyst,2,"$65,500 "
178,Aikya Information Systems,Software Test Engineer,1,"$65,500 "
169,Insigma,Java Developer,3,"$65,501 "
151,Digerati Systems,Software Engineer,29,"$65,504 "
76,Ybrant Technologies,Programmer Analyst,100,"$65,512 "
12,Reliant Vision Group,Java Developer,30,"$65,520 "
221,Nanosemantics,Systems Analyst,9,"$65,525 "
124,Esystems,Programmer Analyst,79,"$65,532 "
111,Enterprise Consulting Services,Computer Programmer,16,"$65,538 "
34,Ramp Technology Group,Qa Analyst,9,"$65,556 "
63,"Radus Tek Services,",Business Analyst,21,"$65,561 "
100,Adaequare,Database Administrator,6,"$65,564 "
78,First Tek,Systems Analyst,29,"$65,578 "
162,Sierra Consulting,Computer Systems Analyst,8,"$65,578 "
41,Keymouz Technologies,Software Developer,45,"$65,600 "
179,First Tek,Computer Systems Analyst,7,"$65,615 "
105,Synerzy Software Solutions,Software Developer,26,"$65,617 "
173,Datametrics Software Systems,Database Administrator,4,"$65,625 "
153,Visam Technologies,Systems Analyst,14,"$65,648 "
69,Hexacorp,Computer Programmer,25,"$65,660 "
202,Vincesolutions,Computer Systems Analyst,6,"$65,667 "
106,Geonine,Computer Systems Analyst,13,"$65,680 "
93,Tek Leaders,Software Developer,29,"$65,691 "
7,Ipolarity,Programmer Analyst,395,"$65,706 "
53,Icon It Group,Qa Analyst,7,"$65,714 "
15,First Tek,Programmer Analyst,198,"$65,715 "
119,Bodhtree Solutions,Computer Programmer Analyst,2,"$65,750 "
71,Congruent Solutions,Software Test Engineer,2,"$65,770 "
176,4 G Metals,Software Test Engineer,1,"$65,770 "
177,Anjaneyap,Software Test Engineer,1,"$65,770 "
83,Super Micro Computer,Data Analyst,3,"$65,770 "
40,Acwiron Global Solutions,Computer Systems Analyst,35,"$65,771 "
83,Collaborate Solutions,Qa Analyst,5,"$65,774 "
180,Sunmerge Systems,Business Analyst,9,"$65,778 "
59,Coolsoft,Database Administrator,10,"$65,780 "
222,Varnar,Software Developer,14,"$65,786 "
67,Proswift  Consulting,Business Analyst,20,"$65,790 "
51,Ka-Sapsolutions,Computer Programmer Analyst,10,"$65,800 "
15,Kumo It Services,Application Developer,10,"$65,811 "
27,Reva Enterprises,Application Developer,8,"$65,811 "
54,Akt,Application Developer,4,"$65,814 "
19,Rsr Unlimited,Business Analyst,49,"$65,816 "
91,Echelon It,Computer Programmer,20,"$65,820 "
150,Kinectra,Software Engineer,29,"$65,828 "
62,Avco Consulting,Qa Analyst,6,"$65,832 "
25,Symbioun Technologies,Database Administrator,18,"$65,833 "
41,Intriv,Systems Analyst,42,"$65,857 "
178,It Trailblazers,Computer Systems Analyst,7,"$65,857 "
192,Vintech Solutions,Systems Analyst,11,"$65,861 "
20,Highpoint Solutions,Developer,8,"$65,863 "
168,Inspirix Technologies,Java Developer,3,"$65,867 "
88,Webject Systems,Database Administrator,7,"$65,871 "
168,Performance Resources Ny,Programmer Analyst,65,"$65,892 "
67,Uktha Global,Java Developer,7,"$65,898 "
149,Advanced Technology Group Usa,Application Developer,2,"$65,900 "
21,Logic Soft,Programmer/Analyst,18,"$65,901 "
74,Sita,Software Developer,33,"$65,914 "
174,Pegasus Knowledge Solutions,Computer Programmer Analyst,1,"$65,915 "
51,Xceltech,Business Analyst,26,"$65,920 "
154,Imedglobal,Business Analyst,10,"$65,924 "
12,Marvelltech,Database Administrator,36,"$65,930 "
89,Genius Minds,Business Analyst,16,"$65,938 "
196,Stellent Solutions,Programmer Analyst,58,"$65,966 "
95,Blue Cloud Techs Corp,Java Developer,5,"$65,967 "
135,KBR GLOBAL IT SOLUTIONS LLC,Software Engineer,32,"$65,969 "
42,3 Share,Developer,4,"$65,975 "
12,Softpath Technologies,Computer Systems Analyst,73,"$65,978 "
147,Galaxy Software Solutions,Software Developer,20,"$65,989 "
200,Datalysys,Business Analyst,8,"$65,993 "
146,Ziddos,Software Developer,20,"$66,000 "
99,Cedent Consulting,Database Administrator,6,"$66,000 "
131,Nrich Enterprise Solutions,Database Administrator,5,"$66,000 "
173,Acer Data Labs,Computer Programmer Analyst,1,"$66,000 "
57,Anira Solutions,Java Developer,8,"$66,000 "
126,Gva Infotech,Java Developer,4,"$66,000 "
167,Itface,Java Developer,3,"$66,000 "
85,Sun Soft Technologies,Application Developer,3,"$66,000 "
134,Cicc Us Securities,Programmer/Analyst,2,"$66,000 "
82,Gssr,Qa Analyst,5,"$66,000 "
146,Uniwaysoft,Qa Analyst,3,"$66,000 "
217,Technical Strategies,Qa Analyst,2,"$66,000 "
217,Charvi Information Technologies,Qa Analyst,2,"$66,000 "
217,Sbm Group,Qa Analyst,2,"$66,000 "
70,Msit Systems,Software Test Engineer,2,"$66,000 "
174,Telecomgateway,Software Test Engineer,1,"$66,000 "
174,Info Services,Software Test Engineer,1,"$66,000 "
158,Hr Pundits,Data Analyst,2,"$66,000 "
85,Friendly Consultants,Systems Analyst,28,"$66,003 "
217,Zenith Services,Programmer Analyst,54,"$66,009 "
13,Cnet Global Solutions,Software Test Engineer,7,"$66,014 "
173,Gnr Systems,Software Test Engineer,1,"$66,040 "
55,Itcommence,Software Developer,40,"$66,048 "
199,Masterex Technologies,Business Analyst,8,"$66,055 "
52,Sree Infotech,Qa Analyst,7,"$66,057 "
49,Rhombium Software,Computer Programmer,33,"$66,061 "
110,Athena Technology,Computer Programmer,16,"$66,063 "
94,Itconsultingservices,Computer Systems Analyst,15,"$66,067 "
39,Emergtech Business Solutions,Computer Systems Analyst,35,"$66,069 "
108,Tasacom Technologies,Software Engineer,37,"$66,081 "
132,Dvi Technologes,Software Developer,22,"$66,089 "
56,Veritis Group,Java Developer,8,"$66,098 "
16,Tek Services,Database Administrator,32,"$66,103 "
19,Envision Infosolutions,Application Developer,9,"$66,111 "
53,The University Of Iowa,Application Developer,4,"$66,130 "
88,Forecast Management Solutions,Programmer Analyst,93,"$66,134 "
191,Maple Software,Systems Analyst,11,"$66,145 "
96,Rite Software Solutions And Services,Systems Analyst,25,"$66,200 "
130,Param Consulting Services,Database Administrator,5,"$66,206 "
25,Itech Analyst,Computer Programmer,53,"$66,219 "
188,Intellipro Group,Computer Programmer,9,"$66,222 "
145,Techorbit,Computer Systems Analyst,9,"$66,222 "
140,Alfa Services Usa,Business Analyst,11,"$66,237 "
157,United Bus Technology,Data Analyst,2,"$66,238 "
187,Tcg Digital Solutions,Computer Programmer,9,"$66,239 "
50,Epromptus,Computer Systems Analyst,26,"$66,242 "
118,Devcare Solutions,Computer Programmer Analyst,2,"$66,250 "
80,Ariston Tek,Programmer Analyst,98,"$66,268 "
7,Acadia Technologies,Qa Analyst,26,"$66,273 "
137,Systel Of Delaware,Programmer Analyst,73,"$66,274 "
95,C-Vision,Systems Analyst,25,"$66,277 "
51,Codesmart,Qa Analyst,7,"$66,286 "
202,Sapvix,Programmer Analyst,56,"$66,290 "
207,Divihn Integration,Computer Programmer,8,"$66,304 "
114,Saxon Global,Business Analyst,13,"$66,324 "
41,Veritis Group,Developer,4,"$66,325 "
42,Techligent Systems,Business Analyst,29,"$66,345 "
10,Proficient Business Systems,Developer,12,"$66,369 "
74,Computek Soulutions,Database Administrator,8,"$66,375 "
172,American Business Solutions,Programmer Analyst,64,"$66,379 "
82,Reva Consulting,Software Developer,31,"$66,394 "
206,Tcg Digital Software,Computer Programmer,8,"$66,394 "
130,Vied Technologies,Computer Systems Analyst,10,"$66,399 "
129,S Cube Soft,Database Administrator,5,"$66,400 "
156,"Collabera,",Data Analyst,2,"$66,400 "
178,Spl Consulting,Systems Analyst,12,"$66,417 "
209,Csts Technologies,Software Engineer,20,"$66,442 "
1,Vedicsoft Solutions,Java Developer,113,"$66,458 "
24,Visionet Systems,Business Analyst,40,"$66,466 "
201,Dataquest,Software Engineer,21,"$66,471 "
63,Lead It,Software Engineer,55,"$66,486 "
65,Talent9,Database Administrator,9,"$66,499 "
129,Fusion Plus Solutions,Business Analyst,12,"$66,500 "
155,"Centraprise,",Data Analyst,2,"$66,500 "
128,Apex Technology Systems,Business Analyst,12,"$66,506 "
41,Kyra Solutions; (Fka: Kyra Infotech),Computer Programmer Analyst,13,"$66,538 "
90,Software Transformations,Computer Programmer,20,"$66,550 "
39,Antra,Java Developer,12,"$66,551 "
205,Altomni Corp,Computer Programmer,8,"$66,560 "
148,"Strategic Staffing Solutions, L.C.",Application Developer,2,"$66,560 "
104,Diligent Group,Business Analyst,14,"$66,571 "
122,Stratedge,Programmer Analyst,80,"$66,600 "
173,I-Link Solutions,Computer Programmer,10,"$66,600 "
59,P Square Solutions,Software Developer,38,"$66,605 "
147,Health Solutions Plus,Application Developer,2,"$66,611 "
32,Business Intelligence Systems,Business Analyst,33,"$66,623 "
58,Trisync Technologies,Computer Systems Analyst,24,"$66,625 "
10,Ulab,Data Analyst,12,"$66,625 "
82,American It Solutions,Computer Programmer,23,"$66,633 "
4,Htc Global Services,Programmer Analyst,556,"$66,640 "
87,R2 Technologies,Programmer Analyst,93,"$66,647 "
145,Gss Infotech Ct,Software Developer,20,"$66,664 "
201,Riteclik,Computer Systems Analyst,6,"$66,667 "
166,H-3 Technologies,Java Developer,3,"$66,667 "
18,Indus Valley Consultants,Systems Analyst,92,"$66,668 "
165,Vincesolutions,Computer Programmer,11,"$66,682 "
40,Maruthi Technologies (DBA: Anblicks),Software Developer,45,"$66,687 "
67,Isite Technologies,Software Developer,35,"$66,696 "
