Rank,H1B Visa Sponsor,Job Title,Number of LCA,Average Salary
29,E-Data Experts,Computer Systems Analyst,41,"$67,244 "
28,Criticalriver,Computer Systems Analyst,41,"$69,566 "
38,Resource America Information Technology,Computer Programmer,41,"$70,590 "
6,Avco Consulting,Java Developer,41,"$70,693 "
42,Cwc International,Systems Analyst,41,"$71,927 "
15,Eitacies.,Computer Programmer Analyst,41,"$73,537 "
37,Infinite Computer Solutions,Computer Programmer,41,"$77,556 "
55,Itcommence,Software Developer,40,"$66,048 "
46,Tachyon Technologies,Systems Analyst,40,"$68,055 "
54,4-Serv Solutions,Software Developer,40,"$69,852 "
7,Etest It,Java Developer,40,"$70,934 "
53,Mark Infotech,Software Developer,40,"$74,488 "
52,Cignex Datamatics,Software Developer,40,"$81,194 "
45,Titan Technologies,Systems Analyst,40,"$84,975 "
33,Interface Systems,Computer Systems Analyst,39,"$60,000 "
32,Client Software Services,Computer Systems Analyst,39,"$60,333 "
42,Nixsol,Computer Programmer,39,"$60,846 "
41,Ez Solutions,Computer Programmer,39,"$65,055 "
56,Avant Systems,Software Developer,39,"$67,065 "
101,Info Services,Software Engineer,39,"$72,314 "
47,Clear Thought Solutions,Systems Analyst,39,"$75,493 "
60,M2m Technologies,Software Developer,38,"$60,596 "
36,Excel. Est,Computer Systems Analyst,38,"$61,088 "
50,Yes Hardsoft Solutions,Systems Analyst,38,"$62,330 "
59,P Square Solutions,Software Developer,38,"$66,605 "
58,Sunrise Infotek,Software Developer,38,"$66,866 "
49,Saxon Global,Systems Analyst,38,"$67,708 "
57,Saibersys,Software Developer,38,"$68,311 "
103,Cerner Health Services,Software Engineer,38,"$80,484 "
102,Veritas Technologies,Software Engineer,38,"$94,627 "
22,Nisum Technologies,Senior Software Engineer,38,"$105,293 "
34,Bristlecone,Computer Systems Analyst,38,"$107,338 "
13,Susash Consulting Services,Programmer/Analyst,37,"$59,041 "
109,Protocol Info Tech,Software Engineer,37,"$60,000 "
37,Fidelis Software Solutions,Computer Systems Analyst,37,"$62,135 "
26,Synchronisys,Business Analyst,37,"$65,379 "
108,Tasacom Technologies,Software Engineer,37,"$66,081 "
16,It Trailblazers,Computer Programmer Analyst,37,"$68,247 "
61,Ncs Pearson,Software Developer,37,"$69,382 "
8,Pioneer Consulting Services,Java Developer,37,"$69,852 "
43,Data-Core Systems,Computer Programmer,37,"$70,833 "
106,Promatrix,Software Engineer,37,"$73,816 "
52,Promantus,Systems Analyst,37,"$79,162 "
105,Trustek,Software Engineer,37,"$88,243 "
44,Continental Hub For Info Processing,Computer Programmer,36,"$50,918 "
65,Arch International Group,Software Developer,36,"$60,000 "
56,Sparkpro Solutions,Systems Analyst,36,"$60,417 "
38,Iplanner,Computer Systems Analyst,36,"$60,641 "
64,Resource Point,Software Developer,36,"$63,192 "
63,Aureus Techsystems,Software Developer,36,"$66,778 "
55,Infoyuga Technologies,Systems Analyst,36,"$67,444 "
9,Osair Technologies,Java Developer,36,"$69,638 "
54,Teckpros,Systems Analyst,36,"$70,000 "
62,Teksoft Systems,Software Developer,36,"$71,722 "
112,Xavient Information Systems,Software Engineer,36,"$74,260 "
27,Consultadd,Business Analyst,36,"$76,549 "
111,Sourceone Technology Solutions,Software Engineer,36,"$80,142 "
110,Schlumberger Technology,Software Engineer,36,"$90,869 "
47,Credent Technologies,Computer Programmer,35,"$47,972 "
68,Zerosnones,Software Developer,35,"$58,029 "
46,Tap It Services,Computer Programmer,35,"$60,000 "
60,Sigma Software,Systems Analyst,35,"$60,788 "
40,Acwiron Global Solutions,Computer Systems Analyst,35,"$65,771 "
39,Emergtech Business Solutions,Computer Systems Analyst,35,"$66,069 "
67,Isite Technologies,Software Developer,35,"$66,696 "
120,Pax InternationalInc,Software Engineer,35,"$67,881 "
59,Conch Technologies,Systems Analyst,35,"$68,086 "
58,3s Business,Systems Analyst,35,"$68,429 "
45,Synergy Global Technologies,Computer Programmer,35,"$71,114 "
66,Akken,Software Developer,35,"$72,269 "
119,Pointwest Technologies Us,Software Engineer,35,"$72,588 "
118,Verinon Technology Solutions,Software Engineer,35,"$77,061 "
117,Accel North America,Software Engineer,35,"$80,007 "
116,Trianz Consulting,Software Engineer,35,"$87,761 "
73,Amzur Technologies,Software Developer,34,"$60,176 "
48,Softima,Computer Programmer,34,"$61,382 "
18,X-Ede It Solutions,Computer Programmer Analyst,34,"$61,471 "
30,Pyramid Technology Solutions,Business Analyst,34,"$62,105 "
72,Atri Softech,Software Developer,34,"$64,000 "
65,Anveta,Systems Analyst,34,"$64,038 "
64,Nuview Technologies,Systems Analyst,34,"$64,118 "
63,Sage It,Systems Analyst,34,"$64,786 "
71,Metanoia Solutions,Software Developer,34,"$68,806 "
70,Infotech Prism,Software Developer,34,"$69,035 "
62,Noblesoft Solutions,Systems Analyst,34,"$70,294 "
13,Sunmerge Systems,Database Administrator,34,"$77,971 "
126,Quantilus,Software Engineer,34,"$78,497 "
10,Tekorg,Java Developer,34,"$80,759 "
69,Synechron,Software Developer,34,"$81,641 "
23,Inovant,Senior Software Engineer,34,"$113,244 "
123,Splunk,Software Engineer,34,"$126,169 "
122,Nvidia,Software Engineer,34,"$137,585 "
50,Value Consulting,Computer Programmer,33,"$60,909 "
67,Mansai,Systems Analyst,33,"$62,330 "
128,Software Programming Group,Software Engineer,33,"$64,095 "
75,Strategic Staffing It,Software Developer,33,"$65,004 "
74,Sita,Software Developer,33,"$65,914 "
49,Rhombium Software,Computer Programmer,33,"$66,061 "
32,Business Intelligence Systems,Business Analyst,33,"$66,623 "
66,Selectiva Systems,Systems Analyst,33,"$84,848 "
4,State Street Bank And Trust Company,Application Developer,33,"$94,823 "
127,Palantir Technologies,Software Engineer,33,"$113,759 "
137,Kr Elixir,Software Engineer,32,"$61,481 "
70,Morlogic,Systems Analyst,32,"$63,000 "
53,Stiaos Technologies,Computer Programmer,32,"$64,156 "
136,American It Solutions,Software Engineer,32,"$65,103 "
135,KBR GLOBAL IT SOLUTIONS LLC,Software Engineer,32,"$65,969 "
16,Tek Services,Database Administrator,32,"$66,103 "
134,Singular Analysts,Software Engineer,32,"$68,969 "
133,Citratek,Software Engineer,32,"$69,078 "
80,Nam Info,Software Developer,32,"$69,344 "
79,Citronit,Software Developer,32,"$69,708 "
131,Shinewell Technologies,Software Engineer,32,"$73,738 "
130,Tenazx,Software Engineer,32,"$73,899 "
24,Aricent Technologies (Holdings),Senior Software Engineer,32,"$74,227 "
68,Competent Systems,Systems Analyst,32,"$74,750 "
77,Operating System Services,Software Developer,32,"$75,250 "
129,Autoliv Asp,Software Engineer,32,"$93,028 "
76,Gcom Software,Software Developer,32,"$104,766 "
86,Novo Proso,Software Developer,31,"$54,000 "
85,Bright Shine Business Solutions,Software Developer,31,"$58,000 "
5,Euclid Technologies,Qa Analyst,31,"$59,791 "
141,Solgenie Technologies,Software Engineer,31,"$61,935 "
55,Genesis Techsystems,Computer Programmer,31,"$62,661 "
42,Eresources Consultants,Computer Systems Analyst,31,"$63,191 "
84,Adroix,Software Developer,31,"$63,710 "
83,Promantis,Software Developer,31,"$63,898 "
36,Global Systems,Business Analyst,31,"$64,232 "
82,Reva Consulting,Software Developer,31,"$66,394 "
73,Flexera Global,Systems Analyst,31,"$67,194 "
35,Flex Consulting Group,Business Analyst,31,"$67,712 "
54,Csi Solutions,Computer Programmer,31,"$71,726 "
41,Igt Solutions,Computer Systems Analyst,31,"$71,761 "
34,Anjaneyap,Business Analyst,31,"$72,542 "
5,Hm Health Solutions,Application Developer,31,"$75,317 "
81,Techpillars,Software Developer,31,"$88,147 "
25,Qualcomm,Senior Software Engineer,31,"$115,666 "
139,F5 Networks,Software Engineer,31,"$118,798 "
138,Riverbed Technology,Software Engineer,31,"$136,143 "
59,Ssb Software Technologies,Computer Programmer,30,"$56,378 "
58,It Spin,Computer Programmer,30,"$56,445 "
90,Delta System & Software,Software Developer,30,"$58,000 "
57,Trinamix,Computer Programmer,30,"$62,067 "
145,Suprasoft,Software Engineer,30,"$64,689 "
12,Reliant Vision Group,Java Developer,30,"$65,520 "
89,Reliant Infotech,Software Developer,30,"$66,862 "
20,International Technology Solutions,Computer Programmer Analyst,30,"$67,011 "
144,Methodica Technologies,Software Engineer,30,"$67,367 "
143,Cyient,Software Engineer,30,"$67,875 "
56,Pav It Global,Computer Programmer,30,"$71,433 "
88,Waynsys,Software Developer,30,"$73,200 "
19,Deemsys,Computer Programmer Analyst,30,"$78,756 "
44,Dynpro,Computer Systems Analyst,30,"$87,576 "
142,Thumbtack,Software Engineer,30,"$143,553 "
95,Netline Technologies,Software Developer,29,"$58,828 "
79,Dsys,Systems Analyst,29,"$61,401 "
61,City Gurus,Computer Programmer,29,"$63,000 "
7,Blueline Software Services,Application Developer,29,"$65,069 "
94,Aikya Information Systems,Software Developer,29,"$65,250 "
151,Digerati Systems,Software Engineer,29,"$65,504 "
93,Tek Leaders,Software Developer,29,"$65,691 "
150,Kinectra,Software Engineer,29,"$65,828 "
42,Techligent Systems,Business Analyst,29,"$66,345 "
92,Comprehensive Resources,Software Developer,29,"$67,480 "
22,Judge Software Professionals,Computer Programmer Analyst,29,"$70,000 "
41,Slk America,Business Analyst,29,"$70,886 "
60,Iservices,Computer Programmer,29,"$74,521 "
21,Dew Software,Computer Programmer Analyst,29,"$76,866 "
45,Systems Technology Group,Computer Systems Analyst,29,"$85,499 "
149,Anu Software Consultants,Software Engineer,29,"$88,633 "
148,Amadeus North America,Software Engineer,29,"$94,868 "
77,Elastic Computing Solutions,Systems Analyst,29,"$104,034 "
147,Theme Soft,Software Engineer,29,"$108,564 "
158,Braven Technologies,Software Engineer,28,"$60,992 "
63,Inbiz Concepts,Computer Programmer,28,"$61,938 "
86,American Tech Vision Solutions,Systems Analyst,28,"$63,107 "
100,Advanced Technology Group Usa,Software Developer,28,"$64,368 "
157,Nextgen Solutions,Software Engineer,28,"$64,695 "
85,Friendly Consultants,Systems Analyst,28,"$66,003 "
46,Adbakx,Business Analyst,28,"$66,876 "
156,Svk Technology Solutions,Software Engineer,28,"$67,857 "
98,Intune Systems,Software Developer,28,"$69,859 "
83,Ziontech Solutions,Systems Analyst,28,"$75,025 "
44,Inovalon,Business Analyst,28,"$76,030 "
82,Sayeon,Systems Analyst,28,"$81,084 "
154,Netrovert Software,Software Engineer,28,"$86,250 "
152,Intel America's,Software Engineer,28,"$104,228 "
27,Lendingclub,Senior Software Engineer,28,"$145,721 "
26,Appdynamics,Senior Software Engineer,28,"$147,068 "
49,Spln International,Business Analyst,27,"$60,505 "
49,Cyberbrains,Computer Systems Analyst,27,"$60,519 "
66,Smallarc,Computer Programmer,27,"$60,815 "
48,Bell Systems,Computer Systems Analyst,27,"$61,909 "
47,Grenza,Computer Systems Analyst,27,"$62,566 "
104,Tekcommands,Software Developer,27,"$62,893 "
65,Globalpoint,Computer Programmer,27,"$64,855 "
162,Vision It Services Usa,Software Engineer,27,"$65,002 "
161,Technosoft Group,Software Engineer,27,"$66,781 "
64,Brillio,Computer Programmer,27,"$69,704 "
14,Atlas Systems,Programmer/Analyst,27,"$72,148 "
47,Vsln International,Business Analyst,27,"$78,000 "
102,Absomax,Software Developer,27,"$81,952 "
101,Idexcel,Software Developer,27,"$86,961 "
30,Bally Gaming,Senior Software Engineer,27,"$87,359 "
160,E-Business International,Software Engineer,27,"$93,167 "
159,Tripadvisor,Software Engineer,27,"$107,426 "
13,Diversant,Java Developer,27,"$117,974 "
107,Torana,Software Developer,26,"$56,402 "
165,Decisionwave,Software Engineer,26,"$60,604 "
93,Ilogic,Systems Analyst,26,"$63,057 "
106,Logixhub,Software Developer,26,"$65,425 "
51,Xceltech,Business Analyst,26,"$65,920 "
50,Epromptus,Computer Systems Analyst,26,"$66,242 "
7,Acadia Technologies,Qa Analyst,26,"$66,273 "
92,Vsion Technologies,Systems Analyst,26,"$67,769 "
164,Ocher Technology Group,Software Engineer,26,"$70,757 "
15,Marlabs Consulting,Programmer/Analyst,26,"$71,965 "
14,Tek Signature,Java Developer,26,"$77,769 "
33,Ge Healthcare Iits Usa,Senior Software Engineer,26,"$107,308 "
73,American Information Technology,Computer Programmer,25,"$51,140 "
72,Superior Software And Technology Solutions,Computer Programmer,25,"$54,669 "
113,Prodware Solutions,Software Developer,25,"$61,440 "
70,E-Train Erp,Computer Programmer,25,"$61,960 "
53,Heights Global It Service,Computer Systems Analyst,25,"$62,122 "
52,P2p Softtek,Computer Systems Analyst,25,"$63,367 "
51,Sterling Software,Computer Systems Analyst,25,"$63,368 "
18,Softcorp International,Java Developer,25,"$63,732 "
112,Krypto It Solutions,Software Developer,25,"$64,000 "
99,It & Ebusiness Consulting Services,Systems Analyst,25,"$64,527 "
98,Grassroot Technologies,Systems Analyst,25,"$64,672 "
69,Hexacorp,Computer Programmer,25,"$65,660 "
96,Rite Software Solutions And Services,Systems Analyst,25,"$66,200 "
95,C-Vision,Systems Analyst,25,"$66,277 "
169,Aries Computer Systems,Software Engineer,25,"$66,860 "
111,G3 Infotek,Software Developer,25,"$67,785 "
168,Lucid Technologies,Software Engineer,25,"$68,440 "
167,Vastika,Software Engineer,25,"$71,279 "
109,Innovative Intelligent Solutions,Software Developer,25,"$72,100 "
17,Ventois,Java Developer,25,"$73,521 "
94,Smartsoft International,Systems Analyst,25,"$80,968 "
166,Genisys Technologies,Software Engineer,25,"$83,080 "
79,Sai Cornerstone,Computer Programmer,24,"$47,867 "
26,Apps Globe,Computer Programmer Analyst,24,"$50,375 "
25,Techleap Systems,Computer Programmer Analyst,24,"$52,583 "
78,I 5 Tech,Computer Programmer,24,"$60,417 "
77,Zillion Technologies,Computer Programmer,24,"$61,584 "
76,Emgenex,Computer Programmer,24,"$63,200 "
75,Momento Usa,Computer Programmer,24,"$64,583 "
24,Logicque,Computer Programmer Analyst,24,"$64,980 "
120,Adamas,Software Developer,24,"$65,000 "
58,Trisync Technologies,Computer Systems Analyst,24,"$66,625 "
57,Edvenswa Tech,Computer Systems Analyst,24,"$68,875 "
74,Ar Solutions,Computer Programmer,24,"$69,458 "
119,"Sv Tech,",Software Developer,24,"$71,583 "
8,Cigniti,Qa Analyst,24,"$72,166 "
117,Tiny Planet,Software Developer,24,"$73,188 "
116,Oberon It,Software Developer,24,"$73,423 "
172,E-Giants Technologies,Software Engineer,24,"$74,592 "
115,Softrams,Software Developer,24,"$74,958 "
114,Teknest,Software Developer,24,"$79,388 "
171,Paypal,Software Engineer,24,"$111,960 "
9,Data,Application Developer,24,"$126,531 "
170,Two Sigma Investments,Software Engineer,24,"$156,000 "
61,Ebs-Minds It,Computer Systems Analyst,23,"$59,497 "
103,Gss Infotech,Systems Analyst,23,"$60,000 "
102,Whiz It Solutions,Systems Analyst,23,"$60,144 "
84,Business Pointers,Computer Programmer,23,"$60,739 "
185,Microinfo It,Software Engineer,23,"$61,043 "
83,Advantage It,Computer Programmer,23,"$61,405 "
60,Zume It,Computer Systems Analyst,23,"$62,373 "
100,Sure Tech Services,Systems Analyst,23,"$63,576 "
10,Ang Infotech,Application Developer,23,"$63,877 "
59,Codesource 360,Computer Systems Analyst,23,"$64,522 "
183,Accelerated Technologies,Software Engineer,23,"$64,739 "
182,Rally Systems,Software Engineer,23,"$65,087 "
127,Gb Tech,Software Developer,23,"$67,509 "
126,Kumo It Services,Software Developer,23,"$67,610 "
81,Pns Technologies,Computer Programmer,23,"$67,652 "
125,Virtual Matrix,Software Developer,23,"$67,835 "
124,Dechen Consulting Group,Software Developer,23,"$68,391 "
181,Green It Solutions,Software Engineer,23,"$70,921 "
3,Comscore,Data Analyst,23,"$71,353 "
178,Dynamic Enterprise Solutions,Software Engineer,23,"$73,783 "
176,Radiance Solutions,Software Engineer,23,"$79,935 "
175,Nest Technologies,Software Engineer,23,"$80,431 "
122,Eclinicalworks,Software Developer,23,"$87,355 "
173,Kla-Tencor,Software Engineer,23,"$118,165 "
4,C2s Technologies,Software Test Engineer,22,"$58,864 "
195,Cdrp Technologies,Software Engineer,22,"$60,000 "
59,Involgixs,Business Analyst,22,"$60,000 "
16,Maxima Consulting,Programmer/Analyst,22,"$60,864 "
27,Mavrick Software And Telecom Services,Computer Programmer Analyst,22,"$61,364 "
110,Eifer Software Solutions,Systems Analyst,22,"$62,818 "
86,Cyberbest Technology,Computer Programmer,22,"$65,416 "
132,Dvi Technologes,Software Developer,22,"$66,089 "
131,Unicorn Technologies,Software Developer,22,"$66,977 "
130,Compumatrice,Software Developer,22,"$67,091 "
129,Gooyah Technologies,Software Developer,22,"$68,000 "
10,Quality Matrix,Qa Analyst,22,"$69,338 "
192,Img Systems,Software Engineer,22,"$70,826 "
128,Global Touchpoints Duns# 13-8058305,Software Developer,22,"$71,255 "
85,Adeptech Systems,Computer Programmer,22,"$71,555 "
107,Forsys,Systems Analyst,22,"$73,900 "
190,Great Software Laboratory,Software Engineer,22,"$77,924 "
189,Lhp Software,Software Engineer,22,"$78,881 "
62,Spruce Technology,Computer Systems Analyst,22,"$84,960 "
188,Motivity Labs,Software Engineer,22,"$91,500 "
38,Impetus Technologies,Senior Software Engineer,22,"$96,364 "
104,Experis Us,Systems Analyst,22,"$98,260 "
186,Apple,Software Engineer,22,"$149,009 "
118,Swift Tech,Systems Analyst,21,"$52,619 "
19,Apps Consultants,Programmer/Analyst,21,"$52,619 "
136,Cloud Hybrid Technologies,Software Developer,21,"$56,279 "
117,Innovative Consulting Solutions,Systems Analyst,21,"$57,258 "
135,Cautela Institute Of Informatics And Technology,Software Developer,21,"$58,384 "
18,Alpha Business Consortium,Programmer/Analyst,21,"$60,310 "
116,Doli Systems,Systems Analyst,21,"$62,219 "
115,Nu Info Systems,Systems Analyst,21,"$62,879 "
68,Software Solutions Group,Computer Systems Analyst,21,"$63,571 "
64,Grapnel Tech Services,Business Analyst,21,"$64,857 "
63,"Radus Tek Services,",Business Analyst,21,"$65,561 "
201,Dataquest,Software Engineer,21,"$66,471 "
62,Abal Technologies,Business Analyst,21,"$66,846 "
134,Vcarve,Software Developer,21,"$68,381 "
17,Url Systems,Programmer/Analyst,21,"$69,429 "
199,Rockwell Collins,Software Engineer,21,"$72,630 "
198,Capsquare Systems,Software Engineer,21,"$76,459 "
133,Computer Global Solutions,Software Developer,21,"$89,564 "
197,Appfolio,Software Engineer,21,"$95,638 "
31,Pir2 Consulting,Computer Programmer Analyst,20,"$45,011 "
71,Bdsn International,Business Analyst,20,"$58,000 "
214,It Rysources,Software Engineer,20,"$60,000 "
152,Technovision Solution,Software Developer,20,"$60,000 "
93,Data Warehouse Labs,Computer Programmer,20,"$60,000 "
68,Santec Resources,Business Analyst,20,"$60,000 "
92,Idril Services,Computer Programmer,20,"$60,771 "
213,Virtuoso Technologies,Software Engineer,20,"$61,000 "
21,Margin5 Solutions,Database Administrator,20,"$61,575 "
72,Captevo,Computer Systems Analyst,20,"$62,458 "
71,Kelly Maxson,Computer Systems Analyst,20,"$63,330 "
151,Finacle Soft,Software Developer,20,"$63,500 "
150,Baanyan Software Services,Software Developer,20,"$63,895 "
212,Palayekar Companies,Software Engineer,20,"$63,989 "
30,Erpmark,Computer Programmer Analyst,20,"$64,546 "
149,"Databoss International,",Software Developer,20,"$65,000 "
148,Aptude,Software Developer,20,"$65,071 "
91,Echelon It,Computer Programmer,20,"$65,820 "
147,Galaxy Software Solutions,Software Developer,20,"$65,989 "
146,Ziddos,Software Developer,20,"$66,000 "
209,Csts Technologies,Software Engineer,20,"$66,442 "
90,Software Transformations,Computer Programmer,20,"$66,550 "
144,Vdriveinfo,Software Developer,20,"$67,250 "
29,Rapidit,Computer Programmer Analyst,20,"$67,755 "
70,Sky Solutions,Computer Systems Analyst,20,"$68,000 "
89,Legend Solutions,Computer Programmer,20,"$68,350 "
143,International Technologies Pro,Software Developer,20,"$68,680 "
28,W3eye,Computer Programmer Analyst,20,"$68,943 "
208,Securonix,Software Engineer,20,"$69,398 "
141,Azee Systems,Software Developer,20,"$69,781 "
207,Excel Global Solutions,Software Engineer,20,"$70,709 "
140,I2 It Solutions,Software Developer,20,"$71,732 "
119,Cybage Software,Systems Analyst,20,"$71,852 "
19,Jnit Technologies,Java Developer,20,"$72,000 "
88,Infocepts,Computer Programmer,20,"$73,821 "
138,Superior Office Solutions,Software Developer,20,"$74,402 "
41,Infostretch,Senior Software Engineer,20,"$93,253 "
39,Yellowpages.Com,Senior Software Engineer,20,"$117,650 "
204,Palo Alto Networks,Software Engineer,20,"$125,285 "
203,Coursera,Software Engineer,20,"$143,483 "
202,Juniper Networks,Software Engineer,20,"$159,787 "
160,Bitsoft International,Software Developer,19,"$54,568 "
76,Srnl International,Business Analyst,19,"$60,000 "
158,Bizintex,Software Developer,19,"$61,316 "
11,Sai Technologies,Qa Analyst,19,"$63,327 "
156,"Arcean,",Software Developer,19,"$63,895 "
126,Niftek,Systems Analyst,19,"$64,263 "
225,Ikon It Solutions,Software Engineer,19,"$65,042 "
74,Incept Data Solutions,Business Analyst,19,"$65,263 "
95,Professional Software Group,Computer Programmer,19,"$67,263 "
94,Laksan Technologies,Computer Programmer,19,"$67,337 "
224,Edvensoft Solutions,Software Engineer,19,"$67,819 "
76,Virinchi Technologies,Computer Systems Analyst,19,"$69,184 "
20,Ibrain Technologies,Programmer/Analyst,19,"$73,002 "
122,Polaris Consulting & Services,Systems Analyst,19,"$73,209 "
23,Imbuesys,Java Developer,19,"$76,487 "
74,Advansoft International,Computer Systems Analyst,19,"$76,800 "
220,Microstrategy,Software Engineer,19,"$97,801 "
43,Hrb Professional Resources,Senior Software Engineer,19,"$102,776 "
219,Acxiom,Software Engineer,19,"$102,785 "
218,Zebra Technologies,Software Engineer,19,"$113,466 "
217,Ooyala,Software Engineer,19,"$117,077 "
42,Tangome,Senior Software Engineer,19,"$131,438 "
216,Integral Development,Software Engineer,19,"$135,089 "
215,Groupon,Software Engineer,19,"$139,658 "
169,Cloud Big Data Technologies,Software Developer,18,"$57,335 "
102,Devise Soft,Computer Programmer,18,"$57,756 "
83,Adroit Associates,Business Analyst,18,"$60,039 "
23,Rlgh,Programmer/Analyst,18,"$60,250 "
82,Genpact,Business Analyst,18,"$60,517 "
26,Idb Admins,Database Administrator,18,"$60,617 "
33,Pearlsoft Solutions,Computer Programmer Analyst,18,"$61,161 "
101,Antra,Computer Programmer,18,"$61,307 "
81,Globaltek Systems,Business Analyst,18,"$62,139 "
79,Eteam Solutions,Computer Systems Analyst,18,"$62,174 "
99,Malvi Systems,Computer Programmer,18,"$62,500 "
78,Yashraj Technologies,Computer Systems Analyst,18,"$63,722 "
22,Globalclick,Programmer/Analyst,18,"$65,000 "
98,Techsol,Computer Programmer,18,"$65,071 "
77,Browse Info Solutions,Computer Systems Analyst,18,"$65,324 "
25,Symbioun Technologies,Database Administrator,18,"$65,833 "
5,Neo Prism Solutions,Data Analyst,18,"$67,278 "
130,Lancesoft,Systems Analyst,18,"$68,889 "
167,Dynamic Software Consultants,Software Developer,18,"$69,444 "
97,Saicon Consultants,Computer Programmer,18,"$70,417 "
166,Bioinfo Systems,Software Developer,18,"$70,547 "
32,Eitacies,Computer Programmer Analyst,18,"$70,833 "
165,Amensys,Software Developer,18,"$73,860 "
79,"Vlink, ",Business Analyst,18,"$74,173 "
128,Saturn Infotech,Systems Analyst,18,"$74,701 "
164,Siri Infosolutions,Software Developer,18,"$76,297 "
163,Recruiting Minds,Software Developer,18,"$80,333 "
44,Infowave Systems,Senior Software Engineer,18,"$83,611 "
96,Smart Solutions,Computer Programmer,18,"$90,111 "
162,Gssr,Software Developer,18,"$92,778 "
107,Indotronix International,Computer Programmer,17,"$46,616 "
106,Hiracle,Computer Programmer,17,"$55,296 "
105,Jp Consulting,Computer Programmer,17,"$58,235 "
179,Ebliz Solutions,Software Developer,17,"$58,647 "
134,Nitco,Systems Analyst,17,"$59,139 "
178,Delta Information Systems,Software Developer,17,"$60,118 "
82,Sgs Technologie,Computer Systems Analyst,17,"$61,477 "
133,Novelty Infotech,Systems Analyst,17,"$62,440 "
177,Swift Technologies,Software Developer,17,"$63,053 "
6,California Creative Solutions,Data Analyst,17,"$63,371 "
80,Maxpro,Computer Systems Analyst,17,"$63,588 "
176,Nartal Systems,Software Developer,17,"$65,088 "
175,Lilax Technologies,Software Developer,17,"$65,235 "
174,Sysarch,Software Developer,17,"$69,158 "
103,Omega Solutions,Computer Programmer,17,"$69,507 "
25,Apptad,Java Developer,17,"$70,016 "
132,Decipher Software Solutions,Systems Analyst,17,"$73,280 "
173,Cw Professional Services,Software Developer,17,"$74,048 "
24,Aci Infotech,Java Developer,17,"$74,165 "
172,Amdocs,Software Developer,17,"$86,505 "
170,Incedo,Software Developer,17,"$92,973 "
8,Successfactors,Developer,17,"$93,371 "
45,Thomson Reuters (Markets),Senior Software Engineer,17,"$107,581 "
112,Bona Fide Management,Computer Programmer,16,"$56,531 "
90,Us It Solutions,Business Analyst,16,"$59,827 "
24,Bened Software Services,Programmer/Analyst,16,"$60,320 "
139,Classroom Support Services,Systems Analyst,16,"$61,545 "
51,Benefitalign,Senior Software Engineer,16,"$65,000 "
111,Enterprise Consulting Services,Computer Programmer,16,"$65,538 "
89,Genius Minds,Business Analyst,16,"$65,938 "
110,Athena Technology,Computer Programmer,16,"$66,063 "
189,Active Enterprise Solutions,Software Developer,16,"$67,884 "
50,Rs Software (India),Senior Software Engineer,16,"$70,404 "
26,Technumen,Java Developer,16,"$70,462 "
84,Otm Labs,Computer Systems Analyst,16,"$70,868 "
186,Novi It,Software Developer,16,"$71,539 "
36,Globalgate It Solutions,Computer Programmer Analyst,16,"$72,494 "
49,Span Systems,Senior Software Engineer,16,"$72,750 "
185,Technomax,Software Developer,16,"$73,403 "
135,Vevey Software Solutions,Systems Analyst,16,"$74,250 "
184,Itc Infotech (Usa),Software Developer,16,"$77,975 "
183,TEKPERFEKT,Software Developer,16,"$80,000 "
83,Rover Resources,Computer Systems Analyst,16,"$80,719 "
109,Trn Systems,Computer Programmer,16,"$81,087 "
108,Tata Elxsi,Computer Programmer,16,"$81,205 "
180,Prodapt North America,Software Developer,16,"$82,892 "
7,Brocade Communications Systems,Software Test Engineer,16,"$101,534 "
47,Ca,Senior Software Engineer,16,"$121,125 "
46,Akamai Technologies,Senior Software Engineer,16,"$122,374 "
38,Teahleap Systems,Computer Programmer Analyst,15,"$47,200 "
119,Primasoft,Computer Programmer,15,"$60,000 "
97,Ameritech Global,Computer Systems Analyst,15,"$60,000 "
147,Conation Consulting Services,Systems Analyst,15,"$62,009 "
96,Global Data Mart,Business Analyst,15,"$62,400 "
118,Vquest Technologies,Computer Programmer,15,"$62,800 "
37,Piorion Solutions,Computer Programmer Analyst,15,"$63,345 "
212,Mind Craft Technologies,Software Developer,15,"$63,533 "
117,Ak Systems,Computer Programmer,15,"$64,067 "
116,Prabhav Services,Computer Programmer,15,"$64,333 "
211,Cloud Soft,Software Developer,15,"$64,667 "
95,Enterprise Business Solutions,Business Analyst,15,"$65,312 "
94,Itconsultingservices,Computer Systems Analyst,15,"$66,067 "
115,Trishulla,Computer Programmer,15,"$67,467 "
209,Tad Solutions,Software Developer,15,"$68,067 "
208,Royal Technocrats,Software Developer,15,"$68,376 "
92,Eminence Consulting,Computer Systems Analyst,15,"$69,000 "
114,Launch It,Computer Programmer,15,"$69,267 "
205,Fei.Com,Software Developer,15,"$70,800 "
93,Vigna Solutions,Business Analyst,15,"$73,203 "
202,Velaga Associates,Software Developer,15,"$73,473 "
201,Taproot Solutions,Software Developer,15,"$73,479 "
91,Ez2 Technologies,Computer Systems Analyst,15,"$73,522 "
200,Neotech Solutions,Software Developer,15,"$73,733 "
90,A1 Kaiser,Computer Systems Analyst,15,"$74,333 "
199,Rnr It Solutions,Software Developer,15,"$77,067 "
198,Ionidea,Software Developer,15,"$77,484 "
